grupo,ação,ação,ação,ação,ação,espaço,espaço,espaço,espaço,espaço,tempo,tempo,tempo,tempo,tempo,objeto,objeto,objeto,objeto,objeto,pessoa,pessoa,pessoa,pessoa,pessoa
Friends group,sair,divertir,aproveitar,foi,ir,escola,colégio,bar,festa,mar,na época,naquele dia,tiver velho,envelhecer,passa,beijo,casamento,carnaval,restaurante,viado,amigo,cara,man,menina,mulher
Political group,votar,protestar,resistir,votei,eleger,urna,urna eleitoral,brasília,parlamento,congresso,2018,2022,outubro,próximo ano,nunca,roubo,fascismo,comunismo,satanás,deus,lula,bolsonaro,ciro,doria,alckmin
Religious group,rezar,clamar,jejuar,vamos orar,creia,igreja,templo,sinagoga,Vaticano,macumba,nascimento de jesus,ressureição ,salvação,jesus voltará,shabbat,cruz,altar,gospel,bíblia,salmo,jesus,deus,messias,salvador,cristo
Scientific group,publicou,expor,comprovar,traduzido,participar,congresso,fapesp,conferência,simpósio,anais,próximo mês,próxima semana,junho,julho,nobel,academia,livro,artigo,revista,journal,cientista,cientistas,pesquisador,pesquisadora,congressista
Scholar group,passar,aprovar,reprovar,errei,fiz a prova,colégio,escola,faculdade,universidade,vestibular,cedo,aula,cedinho,turno,tarde,professor,professora,aluno,alunos,colegas,colega,diretor,turma,excursão,calouro
Co-workers group,reunindo,planejaram,trabalhar,trampei,trampo,firma,meeting,happyhour,HH,escritótio,entregar amanhã,fazer relatório,terminamos,acabamos,próximo desafio,job,breja,chefe,grana,boa,ceo,c level,chefes,diretores,estagiário
Family group,amamos,brigou,casaram,casei,jantamos,casa,bairro,vizinho,baia,ape,jantar,almoço,merenda,lanche,natal,pai,mãe,presente,shopping,ceia,tia,mãe,pai,filho,filha
Green group,preservar,queimando,devastar,mudança,reflorestamento,floresta,Amazônia,Amazonas,Equador,Antártida,futuro,avanço,passado,gerações,amanhã,orgânico,global,aquecimento global,queimada,global warming,voluntários,ambientalistas,ONG,Green peace,humanidade
Innovation group,empreender,inovar,inovando,ideação,empreenda,fundo,investimento,rodada,sebrae,economia,university,arranque,semente,seed capital,retorno,empreendedorismo,empreendedora,empreendedor,investidores,clientes,startup,unicórnios,investidores,angel,anjo
Health care group,recuperar,recuperou,melhorou,curou,vacinamos,hospital,clínica,UTI,UBS,posto de saúde,já,chegou,saiu,curado,resgatou,ambulância,enfermaria,enfermeiro,dra,dr,médico,médica,enfermeira,doutor,CRM
Spiritual group,meditando,meditamos,respiramos,consulta,medite,ayahuasca,medicina,chá,santo daime,terreiro,lua,nova era,mantra,terapia,palo santo,meditação,incenso,candomblé,maçonaria,rosa cruz,Osho,Dalai Lama,hare krishna,AMORC,Buda
Mentoring group,aconselhamento,mentorado,tutoria,apadrinhamento,mentoring,coworking,centro,sebrae,coaching,conferência,melhorar,ativar,potencializar,meeting,emprego,conselho,verdade,caminho,mindfulness ,desenvolvimento pessoal,foco,atenção,equilíbrio,respiração,guia
Wellness group,correr,caminhar,nadar,jogar,ganhar,quadra,campo,pista,faixa,roda,natação,federação,olimpíadas,copa do mundo,mundial,capoeira,futebol,vôlei,treino,competição,campeã,campeão,competidor,jogador,nadador
Media group,documentar,assistir,noticiou,publicamos,apareceu,jornalismo,propaganda,publicidade,globo,record,notícia,audiência,publicou,documentou,reportou,matéria,jornal,série,filme,título,notícia,jornalista,jornalistas,coletiva de imprensa,impresa
Brand group,comercial,marca,viralizou,lançou,patrocinou,apple,coca cola,Amazonas,americanas,microsoft,samsung,toyota,mercedes,méqui,mcdonalds,nike,lançamento,casas bahia,magalu,puta case,pão de açucar,tesla,adidas,osklen,bradesco
National security group,protegendo,proteger,aliança dos países,aliados,seguridade,guerra,ameaça,mais policiamento,fronteiras,soberania nacional,época militar,força militar,segunda guerra mundial,guerra fria,ameaça militar,exécito,aeronáutica,marinha,army,patrulha,FBI,OTAN,NATO,war,quartel
Union group,mobilização,organizando,fortalecendo,sindicalizados,greve,ocupação reitoria,ocupação de terra,bancários,petroleiros,NCST,CBDT,OTB,metalúrgicos,CSB,Nova Central,Intersindical,Força Sindical,CTB,UGT,CUT,sem teto,sem terra,movimento estudantil,movimento sindical ,sindicalismo
Feminist group,ativismo,orientação,reprodução,opressão,legalização,Hipácia,joana darc,dandara,marie curie,Simone Beauvoir,leila diniz,Lei Maria da Penha,feminismo,feministas,igualdade de gênero,diversidade de gênero,legalização do aborto,direitos reprodutivos,Frida,machismo,agressão a mulher,violencia contra a mulher,feminicídio,LGBTQIA+,Angela Davis
LGBTQIA+ group,homofobia,lgbtfobia,transfobia,lesbofobia,casamento gay,pegação,casei,namorando,banheirão,sigilo,ficou,fudeu,brotheragem,orgulho gay,orgulho lgbt,Dia Nacional do Orgulho LGBTQIA+,,parada gay,sapatão,Armário,babado,boneca,mapô,trava,caminhoneira
Ethnic group,inclusão,Reparação,Equiparação,combater,legitimar,reinserir,migração,acessibilizar,imigração,indígenas,povos originários,Kaingang,Macuxi,Terena,Guajajara,Xavante,Pataxó,Potiguara,masai,urus,bribi,bodi,judeus,karen,armênios